"","Product.Group.ID","Product.Group.Name.x","Business.Unit","MIN.Start.Month.Group","MIN.Effective.Start.Date","MAX.End.Month.Group","MAX.Effective.End.Date","Billed.Account.ID","Billed.Account.Name","Account.Name","Finance.Tier","Customer.Support.Tier","Based.Country","Geography..G.","Division..D.","Region..R.","Area..A.","Territory..T.","Product.Group.tier.2","Product.Group.tier.3","Product.Group.tier.4","Hyp...Business.Unit","Total.Past.12.Months.Dollar","Estm.Historical.Monthly.Rev","Contract.Months.Remaining","Contract.Remaining.Value..Q3.2014.to.Q2.2015.","Contract.Remaining.Value..Q4.2014.to.Q3.2015.","Contract.Remaining.Value..Total."
"17886","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","2/1/09 0:00","2/28/09 0:00","3/31/15 0:00","3/31/15 0:00","1-V79I28","ASPWorldTour","ASPWorldTour","C","E","Australia","Americas","Enterprise","Enterprise West","Media West","Media West","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$5,625.00","$468.75",9,"$4,218.75","$4,218.75","$4,218.75"
"17888","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","11/1/09 0:00","11/16/09 0:00","9/30/14 0:00","9/30/14 0:00","1-V79IE3","UMG - Interscope Geffen A&M Records, A division of UMG Recordings, Inc.","UMG - Interscope Geffen A&M Records, A division of UMG Recordings, Inc.","B","E","USA","Americas","Enterprise","Enterprise West","Media West","Media West","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$0.00","$0.00",3,"$0.00","$0.00","$0.00"
"17912","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/11 0:00","6/15/11 0:00","6/30/15 0:00","6/14/15 0:00","1-WXR4N0","Harmonic, Inc.","Harmonic, Inc.","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$9,163.00","$763.58",12,"$9,163.00","$9,163.00","$9,163.00"
"17919","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/08 0:00","6/11/08 0:00","10/31/14 0:00","10/31/14 0:00","1-Y159GK","TT Government Solutions, Inc. DBA  Applied Communication Sciences","TT Government Solutions, Inc. DBA  Applied Communication Sciences","B","E","USA","Americas","Enterprise","Public Sector","Custom/DoD","Custom","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","-$118,900.41","-$9,908.37",4,"-$39,633.47","$0.00","-$39,633.47"
"17944","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","8/1/09 0:00","8/5/09 0:00","8/31/16 0:00","8/4/16 0:00","1-AB9G7","Telefonica Soluciones de Informatica y Comunicaciones de Espana, S.A.","Bankinter","E","E","Spain","EMEA","SER","Spain","Spain","Spain","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,621.57","$218.46",26,"$2,621.57","$2,621.57","$5,680.07"
"17962","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/05 0:00","4/13/05 0:00","3/31/15 0:00","3/31/15 0:00","15Q-5HRT","World Television (Switzerland) Ltd.","World Television (Switzerland) Ltd.","C","E","United Kingdom","EMEA","CER","ECG CER","ECG CER","ECG CER","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$552.29","$46.02",9,"$414.22","$414.22","$414.22"
"17971","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/14 0:00","5/1/14 0:00","10/31/14 0:00","10/31/14 0:00","15Q-ACRH","UBISOFT International SAS","UBISOFT International SAS","","E","France","Americas","Enterprise","Enterprise West","Gaming","Gaming","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$6,500.34","$541.69",4,"$2,166.78","$0.00","$2,166.78"
"18004","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","12/1/09 0:00","12/1/09 0:00","7/31/14 0:00","7/31/14 0:00","17A-4H19","Check Point Software Technologies, Inc.","Check Point Software Technologies, Inc.","B","E","USA","Americas","Enterprise","Enterprise West","West","Bay","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$900.00","$75.00",1,"$75.00","$0.00","$75.00"
"18020","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","10/1/13 0:00","10/1/13 0:00","9/30/14 0:00","9/30/14 0:00","AANA-13Q1J7","Societe Generale","Societe Generale","E","E","France","EMEA","SER","ESS France","ESS France","ESS France","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,818.48","$318.21",3,"$954.62","$0.00","$954.62"
"18033","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/13 0:00","6/1/13 0:00","11/30/14 0:00","11/13/14 0:00","AANA-19WW1Z","hybris Canada, Inc.","hybris Canada, Inc.","E","E","Canada","Americas","Channel Direct","Other","Reseller Accounts","Reseller Accounts","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,000.00","$83.33",5,"$416.67","$416.67","$416.67"
"18035","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","1/1/10 0:00","1/1/10 0:00","4/30/16 0:00","4/30/16 0:00","AANA-1AOL3C","Tilly's, Inc.","Tilly's, Inc.","E","E","USA","Americas","Enterprise","Enterprise West","West","SoCal","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$7,000.00","$583.33",22,"$7,000.00","$7,000.00","$12,833.33"
"18036","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/08 0:00","6/1/08 0:00","1/31/16 0:00","1/31/16 0:00","AANA-1AQ1P5","FIRST (Foundation for the Inspiration and Recognition of Science and Technology)","FIRST (Foundation for the Inspiration and Recognition of Science and Technology)","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,400.00","$200.00",19,"$2,400.00","$2,400.00","$3,800.00"
"18042","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","9/1/13 0:00","9/20/13 0:00","3/31/15 0:00","3/19/15 0:00","AANA-1DAZG8","Stantec Consulting Ltd","Stantec Consulting Ltd","E","E","Canada","Americas","Enterprise","Enterprise West","Bay/Pacific NW","Bay/Pacific NW","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,000.00","$250.00",9,"$2,250.00","$2,250.00","$2,250.00"
"18089","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/08 0:00","4/9/08 0:00","8/31/15 0:00","8/31/15 0:00","AANA-1OPJBO","Qoof Ltd","Qoof Ltd","E","E","Israel","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,000.00","$83.33",14,"$1,000.00","$1,166.67","$1,166.67"
"18090","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","3/1/10 0:00","3/22/10 0:00","6/30/15 0:00","6/30/15 0:00","AANA-1OVXZU","Elemental Technologies","Elemental Technologies","N1","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$10,626.00","$885.50",12,"$10,626.00","$10,626.00","$10,626.00"
"18091","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","7/1/07 0:00","7/1/07 0:00","12/31/14 0:00","12/31/14 0:00","1-5K8P","Verizon Business","Covidien","D","E","USA","Americas","Enterprise","Enterprise East","New England","New England","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$28,800.00","$2,400.00",6,"$14,400.00","$14,400.00","$14,400.00"
"18100","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","10/1/12 0:00","10/1/12 0:00","9/30/14 0:00","9/30/14 0:00","AANA-1T0ENM","Global Data Link","Global Data Link","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,062.50","$171.88",3,"$515.63","$0.00","$515.63"
"18114","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","12/1/13 0:00","12/2/13 0:00","1/31/15 0:00","1/28/15 0:00","F-AC-414812","Mosaico Produzioni SRL","UniCredit S.p.A.","","E","Italy","EMEA","SER","Italy","Italy","Italy","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,126.16","$177.18",7,"$1,240.26","$1,240.26","$1,240.26"
"18122","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","2/1/13 0:00","2/1/13 0:00","4/30/15 0:00","4/30/15 0:00","AANA-24T04C","SkillUp Video Technologies Corporation","SkillUp Video Technologies Corporation","","E","Japan","APJ","JAPAN","JAPAN","JP PARTNER","JP PARTNER","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$46,159.26","$3,846.61",10,"$38,466.05","$38,466.05","$38,466.05"
"18153","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/13 0:00","6/1/13 0:00","5/31/15 0:00","5/31/15 0:00","AANA-2HR1WI","Amyris, Inc","Amyris, Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$0.00","$0.00",11,"$0.00","$0.00","$0.00"
"18156","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/14 0:00","4/1/14 0:00","3/31/16 0:00","3/31/16 0:00","AANA-2J5R8H","University of Washington","University of Washington","","E","USA","Americas","Enterprise","Emerging North America","Inside Sales","Inside Sales West","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$250.00","$20.83",21,"$250.00","$250.00","$437.50"
"18162","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","11/1/08 0:00","11/24/08 0:00","4/30/15 0:00","4/30/15 0:00","AANA-2MW699","Tourism Australia","Tourism Australia","B","E","Australia","APJ","SOUTH ASIA","ANZ","ANZ FARMER","ANZ FARMER","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$13,711.18","$1,142.60",10,"$11,425.98","$11,425.98","$11,425.98"
"18176","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","1/1/14 0:00","1/1/14 0:00","3/31/15 0:00","3/31/15 0:00","AANA-2OL80J","Royal Sundaram Alliance Insurance Company Limited","Royal Sundaram Alliance Insurance Company Limited","","E","India","APJ","INDIA","INDIA","INDIA ENTERPRISE","INDIA ENTERPRISE","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,280.90","$190.08",9,"$1,710.68","$1,710.68","$1,710.68"
"18180","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","11/1/11 0:00","11/15/11 0:00","11/30/14 0:00","11/14/14 0:00","AANA-2Q7714","The EchoNest Corporation","The EchoNest Corporation","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$334.08","$27.84",5,"$139.20","$139.20","$139.20"
"18188","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/12 0:00","5/1/12 0:00","10/31/14 0:00","10/31/14 0:00","AANA-2SU5LH","Thrillist","Thrillist","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$0.00","$0.00",4,"$0.00","$0.00","$0.00"
"18189","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","8/1/11 0:00","8/1/11 0:00","10/31/14 0:00","10/31/14 0:00","AANA-2SUOES","Iminent SAS","Iminent SAS","","E","France","EMEA","SER","ECG SER","ECG SER","ECG SER","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$319.57","$26.63",4,"$106.52","$0.00","$106.52"
"18193","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/14 0:00","4/1/14 0:00","7/31/14 0:00","7/7/14 0:00","AANA-2VOPIC","Adways Inc.","Adways Inc.","","E","Japan","APJ","JAPAN","JAPAN","JP MEDIA","JP MEDIA","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$5,657.90","$471.49",1,"$471.49","$0.00","$471.49"
"18251","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","9/1/13 0:00","9/25/13 0:00","9/30/14 0:00","9/24/14 0:00","AANA-3LEB68","KT Corporation","KT Corporation","","E","Korea","APJ","NORTH ASIA","KOREA","KOREA PARTNER","KOREA PARTNER","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","-$5,296.10","-$441.34",3,"-$1,324.02","$0.00","-$1,324.02"
"18262","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","8/1/12 0:00","8/1/12 0:00","7/31/15 0:00","7/31/15 0:00","AANA-3U1PN4","Behr Process Corporation","Behr Process Corporation","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$100.00","$8.33",13,"$100.00","$108.33","$108.33"
"18282","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/09 0:00","5/24/09 0:00","8/31/15 0:00","8/31/15 0:00","AANA-42UL9M","City Life TV, Ltd","City Life TV, Ltd","E","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$993.08","$82.76",14,"$993.08","$1,158.59","$1,158.59"
"18283","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","11/1/12 0:00","11/1/12 0:00","10/31/14 0:00","10/31/14 0:00","AANA-431KPI","Great Wolf Resorts, Inc.","Great Wolf Resorts, Inc.","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Commerce","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$572.88","$47.74",4,"$190.96","$0.00","$190.96"
"18315","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","2/1/14 0:00","2/1/14 0:00","1/31/15 0:00","1/31/15 0:00","AANA-4N7LG3","BASECAMP, LLC","BASECAMP, LLC","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$600.00","$50.00",7,"$350.00","$350.00","$350.00"
"18324","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","7/1/13 0:00","7/31/13 0:00","7/31/14 0:00","7/30/14 0:00","AANA-4R48X4","StyleCaster","StyleCaster","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,475.00","$206.25",1,"$206.25","$0.00","$206.25"
"18325","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","12/1/13 0:00","12/1/13 0:00","7/31/17 0:00","7/31/17 0:00","1-887X","IBM Global Services","ZeroChaos","","E","USA","Americas","Enterprise","Enterprise East","Southeast","Southeast","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,000.00","$166.67",37,"$2,000.00","$2,000.00","$6,166.67"
"18334","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","3/1/14 0:00","3/15/14 0:00","3/31/15 0:00","3/14/15 0:00","AANA-4YYC1G","Host Broadcast Services AG","Host Broadcast Services AG","","E","Switzerland","EMEA","CER","DM DACH","DM DACH","DM DACH","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$40,000.00","$3,333.33",9,"$30,000.00","$30,000.00","$30,000.00"
"18342","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/10 0:00","4/15/10 0:00","3/31/15 0:00","3/24/15 0:00","AANA-59GKRU","Interface Media Group","Interface Media Group","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","-$1,155.85","-$96.32",9,"-$866.89","-$866.89","-$866.89"
"18343","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/14 0:00","5/1/14 0:00","4/30/15 0:00","4/30/15 0:00","AANA-5AO6UE","Silver Chalice Ventures","Silver Chalice Ventures","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,000.00","$250.00",10,"$2,500.00","$2,500.00","$2,500.00"
"18348","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","11/1/12 0:00","11/1/12 0:00","10/31/14 0:00","10/31/14 0:00","AANA-5E3WGB","Covenant Church","Covenant Church","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,291.63","$190.97",4,"$763.88","$0.00","$763.88"
"18352","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","10/1/09 0:00","10/1/09 0:00","9/30/14 0:00","9/30/14 0:00","AANA-5ELVF7","InMarkit Inc.","InMarkit Inc.","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,833.37","$152.78",3,"$458.34","$0.00","$458.34"
"18353","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","3/1/10 0:00","3/1/10 0:00","10/31/14 0:00","10/31/14 0:00","AANA-5GARK3","OpenPeak Inc","OpenPeak Inc","N1","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,000.00","$83.33",4,"$333.33","$0.00","$333.33"
"18354","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","9/1/13 0:00","9/1/13 0:00","2/28/15 0:00","2/28/15 0:00","AANA-5GVHHN","Paycom","Paycom","","E","USA","Americas","Enterprise","Enterprise West","West","Southwest","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,500.00","$125.00",8,"$1,000.00","$1,000.00","$1,000.00"
"18358","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","2/1/14 0:00","2/1/14 0:00","1/31/16 0:00","1/31/16 0:00","AANA-5LYCNM","41st Parameter,USA","41st Parameter,USA","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,000.00","$166.67",19,"$2,000.00","$2,000.00","$3,166.67"
"18361","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","1/1/12 0:00","1/6/12 0:00","12/31/14 0:00","12/31/14 0:00","AANA-5MMT9F","Profexor.com","Profexor.com","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$900.00","$75.00",6,"$450.00","$450.00","$450.00"
"18366","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","1/1/14 0:00","1/1/14 0:00","12/31/14 0:00","12/31/14 0:00","AANA-5OZYX3","Aglaia Software Inc","Aglaia Software Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$0.00","$0.00",6,"$0.00","$0.00","$0.00"
"18374","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","12/1/09 0:00","12/29/09 0:00","12/31/15 0:00","12/28/15 0:00","AANA-5TTGEE","The Recording Academy","The Recording Academy","E","E","USA","Americas","Enterprise","Enterprise West","Media West","Media West","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,900.00","$325.00",18,"$3,900.00","$3,900.00","$5,850.00"
"18377","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","9/1/10 0:00","9/1/10 0:00","8/31/14 0:00","8/31/14 0:00","AANA-5XIGKY","Pixelsilk","Pixelsilk","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$334.00","$27.83",2,"$55.67","$0.00","$55.67"
"18385","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/12 0:00","5/10/12 0:00","2/28/15 0:00","2/28/15 0:00","AANA-65PWJF","Vistaas Digital Media Pvt. Ltd","Vistaas Digital Media Pvt. Ltd","","E","India","APJ","INDIA","INDIA","ECG INDIA","ECG INDIA","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,360.52","$280.04",8,"$2,240.35","$2,240.35","$2,240.35"
"18388","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/11 0:00","4/30/11 0:00","5/31/15 0:00","5/31/15 0:00","AANA-66XCI4","Envivio","Envivio","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$9,163.00","$763.58",11,"$8,399.42","$8,399.42","$8,399.42"
"18415","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","4/1/10 0:00","4/1/10 0:00","3/31/16 0:00","3/31/16 0:00","AANA-6T8DQ2","Association for Institutional Research","Association for Institutional Research","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","-$1,560.00","-$130.00",21,"-$1,560.00","-$1,560.00","-$2,730.00"
"18428","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","9/1/13 0:00","9/1/13 0:00","8/31/14 0:00","8/31/14 0:00","AANA-76R1O3","Valiton GmbH","Valiton GmbH","","E","Germany","EMEA","CER","DM DACH","DM DACH","DM DACH","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,670.38","$222.53",2,"$445.06","$0.00","$445.06"
"18436","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/13 0:00","6/1/13 0:00","5/31/15 0:00","5/31/15 0:00","AANA-8FOJ1D","Surat Diamond Jewelry Pvt. Ltd.","Surat Diamond Jewelry Pvt. Ltd.","","E","India","APJ","INDIA","INDIA","ECG INDIA","ECG INDIA","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,417.44","$118.12",11,"$1,299.32","$1,299.32","$1,299.32"
"18461","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/07 0:00","6/27/07 0:00","9/30/14 0:00","9/30/14 0:00","AANA-HZY1X","DoD - HP Public Sector","DoD - HP Public Sector","C","E","USA","Americas","Enterprise","Public Sector","Custom/DoD","DoD","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$16,854.04","$1,404.50",3,"$4,213.51","$0.00","$4,213.51"
"18494","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/09 0:00","5/1/09 0:00","4/30/16 0:00","4/30/16 0:00","AANA-XUH3E","Nuance Communications, Inc.","Nuance Communications, Inc.","D","E","USA","Americas","Industry","High Tech","High Tech","High Tech","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$4,784.70","$398.73",22,"$4,784.70","$4,784.70","$8,771.95"
"18502","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","2/1/12 0:00","2/1/12 0:00","1/31/15 0:00","1/31/15 0:00","AANA-5CUS4I","Fox Networks Group, Inc.","FBC - X Factor","","E","USA","Americas","Industry","Media","Media","Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$40,101.75","$3,341.81",7,"$23,392.69","$23,392.69","$23,392.69"
"18509","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","5/1/12 0:00","5/1/12 0:00","4/30/15 0:00","4/30/15 0:00","B-C-C8KEVD","ITWay Solutions Ltd","ITWay Solutions Ltd","","E","Italy","EMEA","SEB","Emerging","Israel","Israel","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$21,802.71","$1,816.89",10,"$18,168.92","$18,168.92","$18,168.92"
"18522","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","12/1/13 0:00","12/1/13 0:00","11/30/15 0:00","11/30/15 0:00","F-AC-1004318","PlushBeds, Inc.","PlushBeds, Inc.","","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,500.00","$125.00",17,"$1,500.00","$1,500.00","$2,125.00"
"18531","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","8/1/13 0:00","8/1/13 0:00","1/31/15 0:00","1/31/15 0:00","F-AC-1015465","Letterhead AB (Bon Magazine)","Letterhead AB (Bon Magazine)","","E","Sweden","EMEA","SEB","ECG SEB","ECG SEB","ECG SEB","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$3,000.80","$250.07",7,"$1,750.47","$1,750.47","$1,750.47"
"18532","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","6/1/13 0:00","6/14/13 0:00","9/30/15 0:00","9/30/15 0:00","F-AC-1017128","Blue Jean Networks","Blue Jean Networks","","E","USA","Americas","Enterprise","Emerging North America","Inside Sales","Inside Sales West","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$4,400.00","$366.67",15,"$4,400.00","$5,500.00","$5,500.00"
"18538","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","1/1/13 0:00","1/1/13 0:00","12/31/14 0:00","12/31/14 0:00","F-AC-1029264","Arturai international AG","Arturai international AG","","E","Switzerland","EMEA","CER","CER Channel","CER Channel","CER Channel","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$1,400.15","$116.68",6,"$700.08","$700.08","$700.08"
"18541","B-3-AXTTN","PROFESSIONAL SERVICES - ENTERPRISE","Services","7/1/13 0:00","7/1/13 0:00","12/31/14 0:00","12/31/14 0:00","F-AC-1033114","EresMas Interactiva, Inc. Dba Orange Advertising Network","EresMas Interactiva, Inc. Dba Orange Advertising Network","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Professional Services - Enterprise","Professional Services - Enterprise","Professional Services - Enterprise","Services BU","$2,000.00","$166.67",6,"$1,000.00","$1,000.00","$1,000.00"
